"customer_name","total_products"
"Rakesh Kumar","1"
"Santosh Pillai","1"
"Meena Chawla","3"
"Vivek Malhotra","1"
"Varun Shetty","1"
"Deepika Jain","2"
"Rohit Rathore","1"
"Pooja Roy","1"
"Kavya Bose","1"
"Suresh Yadav","1"
"Alok Tiwari","2"
"Rajesh Sharma","6"
"Amit Gupta","1"
"Sunil Reddy","1"
"Anjali Desai","1"
"Kavita Kaur","10"
"Simran Kapoor","1"
"Manish Sinha","1"
"Karan Patel","1"
"Arjun Iyer","1"
"Sneha Dubey","1"
"Pankaj Chauhan","1"
"Akash Verma","2"
"Ajay Thakur","2"
"Ritu Saxena","1"
"Ankita Rao","2"
"Aarti Deshmukh","1"
"Priya Singh","1"
